
 NCe$Z (MAGNETIZATION AND ZEEMAN)    
 AL=  -1.9990	GJ=   0.8571
 FI=   0. TETA=  90.

  X(J)  -525.40002   -60.10000     0.00000     0.00000     0.00000     0.00000   764.40002     0.00000     0.00000
   144.000000       1258.69812       150.990219    
   145.000000       1258.23499       151.888092    
   146.000000       1257.71570       152.786514    
   147.000000       1257.14001       153.685471    
   148.000000       1256.51184       154.584961    
   149.000000       1255.83105       155.485016    
   150.000000       1255.10400       156.385666    
   151.000000       1254.32727       157.286896    
   152.000000       1253.50854       158.188736    
   153.000000       1252.64539       159.091156    
   154.000000       1251.73914       159.994171    
   155.000000       1250.79675       160.897812    
   156.000000       1249.81665       161.802063    
   157.000000       1248.79993       162.706970    
   158.000000       1247.74829       163.612549    
   159.000000       1246.66809       164.518738    
   160.000000       1245.55505       165.425568    
   161.000000       1244.41455       166.333099    
   162.000000       1243.24475       167.241257    
   163.000000       1242.05017       168.150101    
   164.000000       1240.83044       169.059662    
   165.000000       1239.58826       169.969864    
   166.000000       1238.32288       170.880783    
   167.000000       1237.04004       171.792374    
   168.000000       1235.73706       172.704681    
   169.000000       1234.41272       173.617676    
   170.000000       1233.07703       174.531403    
   171.000000       1231.72253       175.445831    
   172.000000       1230.35413       176.360992    
   173.000000       1228.97400       177.276855    
   174.000000       1227.58044       178.193436    
   175.000000       1226.17603       179.110748    
   176.000000       1224.76038       180.028824    
   177.000000       1223.33704       180.947601    
   178.000000       1221.90393       181.867111    
   179.000000       1220.46460       182.787399    
   180.000000       1219.01843       183.708374    
   181.000000       1217.56482       184.630127    
   182.000000       1216.10962       185.552612    
   183.000000       1214.64722       186.475861    
   184.000000       1213.18494       187.399887    
   185.000000       1211.71582       188.324615    
   186.000000       1210.24817       189.250107    
   187.000000       1208.77661       190.176376    
   188.000000       1207.30505       191.103424    
   189.000000       1205.83423       192.031204    
   190.000000       1204.36255       192.959717    
   191.000000       1202.89294       193.889023    
   192.000000       1201.42444       194.819077    
   193.000000       1199.95874       195.749908    
   194.000000       1198.49585       196.681519    
   195.000000       1197.03564       197.613876    
   196.000000       1195.57898       198.546997    
   197.000000       1194.12573       199.480865    
   198.000000       1192.67932       200.415512    
   199.000000       1191.23572       201.350952    
   200.000000       1189.79749       202.287140    
   201.000000       1188.36572       203.224091    
   202.000000       1186.93958       204.161819    
   203.000000       1185.52100       205.100296    
   204.000000       1184.10742       206.039581    
   205.000000       1182.70117       206.979599    
   206.000000       1181.30347       207.920380    
   207.000000       1179.91406       208.861923    
   208.000000       1178.53101       209.804260    
   209.000000       1177.15637       210.747375    
   210.000000       1175.79028       211.691223    
   211.000000       1174.43274       212.635864    
   212.000000       1173.08533       213.581223    
   213.000000       1171.74524       214.527374    
   214.000000       1170.41504       215.474274    
   215.000000       1169.09485       216.421951    
   216.000000       1167.78247       217.370392    
   217.000000       1166.48279       218.319595    
   218.000000       1165.19031       219.269547    
   219.000000       1163.91016       220.220261    
   220.000000       1162.63916       221.171722    
   221.000000       1161.38025       222.123917    
   222.000000       1160.13000       223.076920    
   223.000000       1158.89148       224.030670    
   224.000000       1157.66333       224.985138    
   225.000000       1156.44739       225.940384    
   226.000000       1155.24109       226.896378    
   227.000000       1154.04443       227.853058    
   228.000000       1152.86218       228.810562    
   229.000000       1151.68884       229.768814    
   230.000000       1150.52905       230.727737    
   231.000000       1149.37952       231.687469    
